wwtp,samp_date,field_pt_name,parameter,mean_value
Encina Wastewater Authority,2021-02-09,influent,PFHxA,11
Encina Wastewater Authority,2021-02-09,influent,PFHxS,5.7
Encina Wastewater Authority,2021-02-09,influent,PFNS,2
Encina Wastewater Authority,2021-02-09,influent,PFOA,6.6
Encina Wastewater Authority,2021-02-09,influent,PFOS,4.1
Encina Wastewater Authority,2021-02-09,influent,PFPA,6.9
Encina Wastewater Authority,2021-05-04,effluent,PFBA,14
Encina Wastewater Authority,2021-05-04,effluent,PFBS,2.9
Encina Wastewater Authority,2021-05-04,effluent,PFHxA,18
Encina Wastewater Authority,2021-05-04,effluent,PFHxS,3
Encina Wastewater Authority,2021-05-04,effluent,PFOA,8.5
Encina Wastewater Authority,2021-05-04,effluent,PFOS,4.1
Encina Wastewater Authority,2021-05-04,effluent,PFPA,6.6
Encina Wastewater Authority,2021-05-04,influent,PFBS,3.3
Encina Wastewater Authority,2021-05-04,influent,PFHxA,8.3
Encina Wastewater Authority,2021-05-04,influent,PFHxS,3.3
Encina Wastewater Authority,2021-05-04,influent,PFOA,5.7
Encina Wastewater Authority,2021-05-04,influent,PFOS,2.4
Encina Wastewater Authority,2021-05-04,influent,PFPA,7.1
Encina Wastewater Authority,2021-07-26,effluent,6:2FTS,0.65
Encina Wastewater Authority,2021-07-26,effluent,NMEFOSAA,1.3
Encina Wastewater Authority,2021-07-26,effluent,PFBA,18
Encina Wastewater Authority,2021-07-26,effluent,PFBS,2.3
Encina Wastewater Authority,2021-07-26,effluent,PFDA,1
Encina Wastewater Authority,2021-07-26,effluent,PFHpA,3.9
Encina Wastewater Authority,2021-07-26,effluent,PFHxA,13
Encina Wastewater Authority,2021-07-26,effluent,PFHxS,1.7
Encina Wastewater Authority,2021-07-26,effluent,PFNA,1.1
Encina Wastewater Authority,2021-07-26,effluent,PFOA,6.2
Encina Wastewater Authority,2021-07-26,effluent,PFOS,3.8
Encina Wastewater Authority,2021-07-26,effluent,PFPA,9.4
Encina Wastewater Authority,2021-07-26,influent,8:2FTS,0.45
Encina Wastewater Authority,2021-07-26,influent,MEFOSE,0.89
Encina Wastewater Authority,2021-07-26,influent,NETFOSAA,0.66
Encina Wastewater Authority,2021-07-26,influent,NMEFOSAA,0.84
Encina Wastewater Authority,2021-07-26,influent,PFBA,30
Encina Wastewater Authority,2021-07-26,influent,PFBS,3.3
Encina Wastewater Authority,2021-07-26,influent,PFDA,1.9
Encina Wastewater Authority,2021-07-26,influent,PFDoA,0.85
Encina Wastewater Authority,2021-07-26,influent,PFDS,0.87
Encina Wastewater Authority,2021-07-26,influent,PFHpA,4
Encina Wastewater Authority,2021-07-26,influent,PFHxA,12
Encina Wastewater Authority,2021-07-26,influent,PFHxS,3.2
Encina Wastewater Authority,2021-07-26,influent,PFNA,2.1
Encina Wastewater Authority,2021-07-26,influent,PFNS,0.44
Encina Wastewater Authority,2021-07-26,influent,PFOA,7.5
Encina Wastewater Authority,2021-07-26,influent,PFOS,4.9
Encina Wastewater Authority,2021-07-26,influent,PFPA,13
Encina Wastewater Authority,2021-07-26,influent,PFPES,0.78
Encina Wastewater Authority,2021-07-26,influent,PFTrDA,0.4
Encina Wastewater Authority,2021-07-26,influent,PFUnA,0.68
Goleta SD WWTP,2021-04-21,influent,PFPA,110
Goleta SD WWTP,2021-08-18,influent,PFPA,170
Hyperion WWTP,2020-10-05,effluent,6:2FTS,83.2
Hyperion WWTP,2020-10-05,effluent,FOSA,19.4
Hyperion WWTP,2020-10-05,effluent,PFBA,6.19
Hyperion WWTP,2020-10-05,effluent,PFBS,21.5
Hyperion WWTP,2020-10-05,effluent,PFHxA,13
Hyperion WWTP,2020-10-05,effluent,PFOA,8.54
Hyperion WWTP,2020-10-05,effluent,PFOS,8.49
Hyperion WWTP,2020-10-05,effluent,PFPA,6.16
Hyperion WWTP,2020-10-05,influent,6:2FTS,327.91
Hyperion WWTP,2020-10-05,influent,MEFOSE,29.5
Hyperion WWTP,2020-10-05,influent,PFBA,5.52
Hyperion WWTP,2020-10-05,influent,PFBS,92.8
Hyperion WWTP,2020-10-05,influent,PFHxA,6.728
Hyperion WWTP,2020-10-05,influent,PFOA,6.03
Hyperion WWTP,2020-10-05,influent,PFOS,38.763333333333335
Hyperion WWTP,2020-10-05,influent,PFPA,5.59
Hyperion WWTP,2021-02-02,effluent,6:2FTS,5.69
Hyperion WWTP,2021-02-02,effluent,FOSA,17.1
Hyperion WWTP,2021-02-02,effluent,PFBA,7.6
Hyperion WWTP,2021-02-02,effluent,PFBS,15.8
Hyperion WWTP,2021-02-02,effluent,PFHxA,16.1
Hyperion WWTP,2021-02-02,effluent,PFOA,6.37
Hyperion WWTP,2021-02-02,effluent,PFOS,9.05
Hyperion WWTP,2021-02-02,effluent,PFPA,11.4
Hyperion WWTP,2021-02-02,influent,6:2FTS,24.2
Hyperion WWTP,2021-02-02,influent,MEFOSE,30.2
Hyperion WWTP,2021-02-02,influent,PFBA,6.58
Hyperion WWTP,2021-02-02,influent,PFBS,18.45
Hyperion WWTP,2021-02-02,influent,PFHxA,9.244
Hyperion WWTP,2021-02-02,influent,PFHxS,4.96
Hyperion WWTP,2021-02-02,influent,PFOA,5.425000000000001
